symbol,company_name,isin,industry
RAILTEL,Railtel Corporation Of India Ltd.,INE0DD101019,Telecommunication
RAINBOW,Rainbow Childrens Medicare Ltd.,INE961O01016,Healthcare
RAMCOCEM,The Ramco Cements Ltd.,INE331A01037,Construction Materials
RBLBANK,RBL Bank Ltd.,INE976G01028,Financial Services
RECLTD,REC Ltd.,INE020B01018,Financial Services
REDINGTON,Redington Ltd.,INE891D01026,Services
RELIANCE,Reliance Industries Ltd.,INE002A01018,Oil Gas & Consumable Fuels
RHIM,RHI MAGNESITA INDIA LTD.,INE743M01012,Capital Goods
RITES,RITES Ltd.,INE320J01015,Construction
RKFORGE,Ramkrishna Forgings Ltd.,INE399G01023,Automobile and Auto Components
RPOWER,Reliance Power Ltd.,INE614G01033,Power
RRKABEL,R R Kabel Ltd.,INE777K01022,Capital Goods
RVNL,Rail Vikas Nigam Ltd.,INE415G01027,Construction
SAGILITY,Sagility Ltd.,INE0W2G01015,Information Technology
SAIL,Steel Authority of India Ltd.,INE114A01011,Metals & Mining
SAILIFE,Sai Life Sciences Ltd.,INE570L01029,Healthcare
SAMMAANCAP,Sammaan Capital Ltd.,INE148I01020,Financial Services
SAPPHIRE,Sapphire Foods India Ltd.,INE806T01020,Consumer Services
SARDAEN,Sarda Energy and Minerals Ltd.,INE385C01021,Metals & Mining
SAREGAMA,Saregama India Ltd,INE979A01025,Media Entertainment & Publication
SBFC,SBFC Finance Ltd.,INE423Y01016,Financial Services
SBICARD,SBI Cards and Payment Services Ltd.,INE018E01016,Financial Services
SBILIFE,SBI Life Insurance Company Ltd.,INE123W01016,Financial Services
SBIN,State Bank of India,INE062A01020,Financial Services
SCHAEFFLER,Schaeffler India Ltd.,INE513A01022,Automobile and Auto Components
SCHNEIDER,Schneider Electric Infrastructure Ltd.,INE839M01018,Capital Goods
SCI,Shipping Corporation of India Ltd.,INE109A01011,Services
SHREECEM,Shree Cement Ltd.,INE070A01015,Construction Materials
SHRIRAMFIN,Shriram Finance Ltd.,INE721A01047,Financial Services
SHYAMMETL,Shyam Metalics and Energy Ltd.,INE810G01011,Capital Goods
SIEMENS,Siemens Ltd.,INE003A01024,Capital Goods
SIGNATURE,Signatureglobal (India) Ltd.,INE903U01023,Realty
SJVN,SJVN Ltd.,INE002L01015,Power
SOBHA,Sobha Ltd.,INE671H01015,Realty
SOLARINDS,Solar Industries India Ltd.,INE343H01029,Chemicals
SONACOMS,Sona BLW Precision Forgings Ltd.,INE073K01018,Automobile and Auto Components
SONATSOFTW,Sonata Software Ltd.,INE269A01021,Information Technology
SPLPETRO,Supreme Petrochem Ltd.,INE663A01033,Chemicals
SRF,SRF Ltd.,INE647A01010,Chemicals
STARHEALTH,Star Health and Allied Insurance Company Ltd.,INE575P01011,Financial Services
SUMICHEM,Sumitomo Chemical India Ltd.,INE258G01013,Chemicals
SUNDARMFIN,Sundaram Finance Ltd.,INE660A01013,Financial Services
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,INE044A01036,Healthcare
SUNTV,Sun TV Network Ltd.,INE424H01027,Media Entertainment & Publication
SUPREMEIND,Supreme Industries Ltd.,INE195A01028,Capital Goods
SUZLON,Suzlon Energy Ltd.,INE040H01021,Capital Goods
SWANCORP,Swan Corp Ltd.,INE665A01038,Chemicals
SWIGGY,Swiggy Ltd.,INE00H001014,Consumer Services
SYNGENE,Syngene International Ltd.,INE398R01022,Healthcare
SYRMA,Syrma SGS Technology Ltd.,INE0DYJ01015,Capital Goods
TARIL,Transformers And Rectifiers (India) Ltd.,INE763I01026,Capital Goods
TATACAP,Tata Capital Ltd.,INE976I01016,Financial Services
TATACHEM,Tata Chemicals Ltd.,INE092A01019,Chemicals
TATACOMM,Tata Communications Ltd.,INE151A01013,Telecommunication
TATACONSUM,Tata Consumer Products Ltd.,INE192A01025,Fast Moving Consumer Goods
TATAELXSI,Tata Elxsi Ltd.,INE670A01012,Information Technology
TATAINVEST,Tata Investment Corporation Ltd.,INE672A01026,Financial Services
TATAPOWER,Tata Power Co. Ltd.,INE245A01021,Power
TATASTEEL,Tata Steel Ltd.,INE081A01020,Metals & Mining
TATATECH,Tata Technologies Ltd.,INE142M01025,Information Technology
TBOTEK,TBO Tek Ltd.,INE673O01025,Consumer Services
TCS,Tata Consultancy Services Ltd.,INE467B01029,Information Technology
TECHM,Tech Mahindra Ltd.,INE669C01036,Information Technology
TECHNOE,Techno Electric & Engineering Company Ltd.,INE285K01026,Construction
TEGA,Tega Industries Ltd.,INE011K01018,Capital Goods
TEJASNET,Tejas Networks Ltd.,INE010J01012,Telecommunication
TENNIND,Tenneco Clean Air India Ltd.,INE19RI01016,Automobile and Auto Components
THELEELA,Leela Palaces Hotels & Resorts Ltd.,INE0AQ201015,Consumer Services
THERMAX,Thermax Ltd.,INE152A01029,Capital Goods
TIINDIA,Tube Investments of India Ltd.,INE974X01010,Automobile and Auto Components
TIMKEN,Timken India Ltd.,INE325A01013,Capital Goods
TITAGARH,Titagarh Rail Systems Ltd.,INE615H01020,Capital Goods
TITAN,Titan Company Ltd.,INE280A01028,Consumer Durables
TMCV,Tata Motors Ltd.,INE1TAE01010,Capital Goods
TMPV,Tata Motors Passenger Vehicles Ltd.,INE155A01022,Automobile and Auto Components
TORNTPHARM,Torrent Pharmaceuticals Ltd.,INE685A01028,Healthcare
TORNTPOWER,Torrent Power Ltd.,INE813H01021,Power
TRAVELFOOD,Travel Food Services Ltd.,INE103V01028,Consumer Services
TRENT,Trent Ltd.,INE849A01020,Consumer Services
TRIDENT,Trident Ltd.,INE064C01022,Textiles
TRITURBINE,Triveni Turbine Ltd.,INE152M01016,Capital Goods
TTML,Tata Teleservices (Maharashtra) Ltd.,INE517B01013,Telecommunication
TVSMOTOR,TVS Motor Company Ltd.,INE494B01023,Automobile and Auto Components
UBL,United Breweries Ltd.,INE686F01025,Fast Moving Consumer Goods
UCOBANK,UCO Bank,INE691A01018,Financial Services
ULTRACEMCO,UltraTech Cement Ltd.,INE481G01011,Construction Materials
UNIONBANK,Union Bank of India,INE692A01016,Financial Services
UNITDSPR,United Spirits Ltd.,INE854D01024,Fast Moving Consumer Goods
UNOMINDA,UNO Minda Ltd.,INE405E01023,Automobile and Auto Components
UPL,UPL Ltd.,INE628A01036,Chemicals
URBANCO,Urban Company Ltd.,INE0CAZ01013,Consumer Services
USHAMART,Usha Martin Ltd.,INE228A01035,Capital Goods
UTIAMC,UTI Asset Management Company Ltd.,INE094J01016,Financial Services
VBL,Varun Beverages Ltd.,INE200M01039,Fast Moving Consumer Goods
VEDL,Vedanta Ltd.,INE205A01025,Metals & Mining
VIJAYA,Vijaya Diagnostic Centre Ltd.,INE043W01024,Healthcare
VMM,Vishal Mega Mart Ltd.,INE01EA01019,Consumer Services
VOLTAS,Voltas Ltd.,INE226A01021,Consumer Durables
VTL,Vardhman Textiles Ltd.,INE825A01020,Textiles
WAAREEENER,Waaree Energies Ltd.,INE377N01017,Capital Goods
WELCORP,Welspun Corp Ltd.,INE191B01025,Capital Goods
WELSPUNLIV,Welspun Living Ltd.,INE192B01031,Textiles
WHIRLPOOL,Whirlpool of India Ltd.,INE716A01013,Consumer Durables
WIPRO,Wipro Ltd.,INE075A01022,Information Technology
WOCKPHARMA,Wockhardt Ltd.,INE049B01025,Healthcare
YESBANK,Yes Bank Ltd.,INE528G01035,Financial Services
ZEEL,Zee Entertainment Enterprises Ltd.,INE256A01028,Media Entertainment & Publication
ZENSARTECH,Zensar Technolgies Ltd.,INE520A01027,Information Technology
ZENTEC,Zen Technologies Ltd.,INE251B01027,Capital Goods
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,INE342J01019,Automobile and Auto Components
ZYDUSLIFE,Zydus Lifesciences Ltd.,INE010B01027,Healthcare
ZYDUSWELL,Zydus Wellness Ltd.,INE768C01028,Fast Moving Consumer Goods
